№,Область проверки,Проверка,Статус (PASS/FAIL),Комментарий/Баг-ID
1,Визуальное представление,Отображение ≥3 скриншотов в карусели (1920x1080 JPEG/PNG),,
2,Визуальное представление,Проверка зацикленной прокрутки скриншотов,,
3,Визуальное представление,Открытие скриншота на полный экран по клику,,
4,Описание игры,Наличие краткого описания (≤150 символов),,
5,Описание игры,Наличие подробного описания (≤2000 символов),,
6,Системные требования,Отображение минимальных требований,,
7,Системные требования,Отображение рекомендуемых требований,,
8,Информация об игре,Указан жанр игры,,
9,Информация об игре,Указан разработчик и год выпуска,,
10,Комментарии,Отображение кнопки авторизации для неавторизованных пользователей,,
11,Комментарии,Отображение существующих комментариев (с именем и датой),,
12,Комментарии,Ограничение длины комментария (200 символов) с индикатором,,
13,Похожие игры,Отображение ≥5 похожих игр (по жанру/разработчику),,
14,Цена и покупка,Корректное отображение цены/скидки,,
15,Цена и покупка,Работа кнопки "Добавить в корзину" (блокировка при добавлении),,
16,Адаптивность,Корректное отображение на мобильных устройствах,,